MuseumList_20251106,,,,,,
名称,都道府県,市区町村,登録状況,設置者,館種,公式HP
利尻町立博物館,北海道,利尻町,登録博物館,市区町村立,総合,https://rishiri-town.jp/%e6%95%99%e8%82%b2/%e5%88%a9%e5%b0%bb%e7%94%ba%e5%8d%9a%e7%89%a9%e9%a4%a8/
旭川兵村記念館,北海道,旭川市,指定施設,一般財団法人,歴史,https://asahikawaheison.sakura.ne.jp/
ロイズミュージアム,北海道,石狩郡当別町,指定施設,会社,美術,https://www.royce.com/cct/
帯広市動物園,北海道,帯広市,指定施設,市区町村立,動物園,https://www.city.obihiro.hokkaido.jp/zoo/
神田日勝記念美術館,北海道,河東郡鹿追町,指定施設,市区町村立,美術,http://kandanissho.com/
福原記念美術館,北海道,河東郡鹿追町,指定施設,会社,美術,https://art-fukuhara.jp/
東京大学大学院人文社会系研究科附属北海文化研究常呂実習施設,北海道,北見市,指定施設,国立大学法人,歴史,https://www.l.u-tokyo.ac.jp/tokoro/
釧路市こども遊学館,北海道,釧路市,指定施設,市区町村立,科学,https://kodomoyugakukan.jp/
札幌芸術の森美術館,北海道,札幌市,指定施設,市区町村立,美術,https://artpark.or.jp/shisetsu/sapporo-art-museum/
北海道開拓の村,北海道,札幌市,指定施設,都道府県立,野外博物館,https://www.kaitaku.or.jp/
北海道大学北方生物圏フィールド科学センター植物園,北海道,札幌市,指定施設,国立大学法人,植物園,https://www.fsc.hokudai.ac.jp/
本郷新記念札幌彫刻美術館,北海道,札幌市,指定施設,市区町村立,美術,http://www.hongoshin-smos.jp/
○国立アイヌ民族博物館,北海道,白老町,指定施設,国立,歴史,https://ainu-upopoy.jp/
仙台藩白老元陣屋資料館,北海道,白老町,指定施設,市区町村立,歴史,http://www.town.shiraoi.hokkaido.jp/docs/2020062800019/
サケのふるさと千歳水族館,北海道,千歳市,指定施設,公益財団法人,科学,https://chitose-aq.jp/
ウトナイ湖サンクチュアリ「ネイチャーセンター」,北海道,苫小牧市,指定施設,公益財団法人,科学,https://utonai-nc.sakura.ne.jp/index.html
根室市歴史と自然の資料館,北海道,根室市,指定施設,市区町村立,総合,https://www.city.nemuro.hokkaido.jp/lifeinfo/kakuka/kyoikuiinkai/kyoikushiryokan/index.html
のぼりべつクマ牧場ヒグマ博物館,北海道,登別市,指定施設,会社,動物園,https://bearpark.jp/museum_observatory/
登別マリンパークニクス,北海道,登別市,指定施設,会社,水族館,https://www.nixe.co.jp/
えりも町郷土資料館・水産の館,北海道,幌泉郡えりも町,指定施設,市区町村立,総合,https://www.town.erimo.lg.jp/horoizumi/index.html
室蘭市民俗資料館,北海道,室蘭市,指定施設,市区町村立,総合,https://www.city.muroran.lg.jp/culture/?content=1516
夕張市石炭博物館,北海道,夕張市,指定施設,市区町村立,歴史,https://coal-yubari.jp/
青森県立郷土館,青森県,青森市,登録博物館,都道府県立,総合,https://www.kyodokan.com/
八戸市博物館,青森県,八戸市,登録博物館,市区町村立,歴史,https://hachinohe-city-museum.jp/
◎八戸市美術館,青森県,八戸市,登録博物館,市区町村立,美術,https://hachinohe-art-museum.jp/
高岡の森弘前藩歴史館,青森県,弘前市,登録博物館,市区町村立,歴史,http://www.city.hirosaki.aomori.jp/takaoka-rekishikan/
弘前市立博物館,青森県,弘前市,登録博物館,市区町村立,歴史,http://www.city.hirosaki.aomori.jp/hakubutsukan/
青森県立美術館,青森県,青森市,指定施設,都道府県立,美術,https://www.aomori-museum.jp/
弘前れんが倉庫美術館,青森県,弘前市,指定施設,市区町村立,美術,https://www.hirosaki-moca.jp/
一関市博物館,岩手県,一関市,登録博物館,市区町村立,歴史,https://www.city.ichinoseki.iwate.jp/museum/
石神の丘美術館,岩手県,岩手郡岩手町,登録博物館,市区町村立,美術,https://ishigami-iwate.jp/
牛の博物館,岩手県,奥州市,登録博物館,市区町村立,総合,https://www.city.oshu.iwate.jp/section/ushi/index.html
大船渡市立博物館,岩手県,大船渡市,登録博物館,市区町村立,総合,https://www.city.ofunato.iwate.jp/archive/p20250115182916
北上市立鬼の館,岩手県,北上市,登録博物館,市区町村立,歴史,https://www.city.kitakami.iwate.jp/life/soshikikarasagasu/oninoyakata/index.html
◎北上市立博物館,岩手県,北上市,登録博物館,市区町村立,総合,https://www.city.kitakami.iwate.jp/life/soshikikarasagasu/hakubutsu/1_1/index.html
遠野市立博物館,岩手県,遠野市,登録博物館,市区町村立,歴史,"https://www.city.tono.iwate.jp/index.cfm/48,25002,166,html"
碧祥寺博物館,岩手県,西和賀町,登録博物館,宗教法人,歴史,https://yamanoideyu.com/spot/article.php?p=74
御所野縄文博物館,岩手県,二戸郡一戸町,登録博物館,市区町村立,歴史,https://goshono-iseki.com/
花巻市博物館,岩手県,花巻市,登録博物館,市区町村立,歴史,https://www.city.hanamaki.iwate.jp/bunkasports/bunka/1019887/1008981/index.html
萬鉄五郎記念美術館,岩手県,花巻市,登録博物館,市区町村立,美術,https://www.city.hanamaki.iwate.jp/bunkasports/bunka/1019887/yorozutetsugoro/1002101.html
宮古市北上山地民俗資料館,岩手県,宮古市,登録博物館,市区町村立,歴史,http://kitakamisanchi.city.miyako.iwate.jp/
宮古市崎山貝塚縄文の森ミュージアム,岩手県,宮古市,登録博物館,市区町村立,歴史,https://www.city.miyako.iwate.jp/gyosei/kanko_bunka_sports/rekishi_bunkazai/8498.html
◎岩手県立博物館,岩手県,盛岡市,登録博物館,都道府県立,総合,http://www2.pref.iwate.jp/~hp0910/
◎岩手県立美術館,岩手県,盛岡市,登録博物館,都道府県立,美術,https://www.ima.or.jp/
深沢紅子野の花美術館,岩手県,盛岡市,登録博物館,一般社団法人,美術,http://www.nonohana.hs.plala.or.jp/
盛岡市遺跡の学び館,岩手県,盛岡市,登録博物館,市区町村立,歴史,https://www.city.morioka.iwate.jp/kankou/kankou/1037106/rekishi/1009437/1009438.html
◎盛岡市子ども科学館,岩手県,盛岡市,登録博物館,市区町村立,科学,https://kodomokagakukan.com/
盛岡市先人記念館,岩手県,盛岡市,登録博物館,市区町村立,歴史,https://www.mfca.jp/senjin/
◎陸前高田市立博物館,岩手県,陸前高市,登録博物館,市区町村立,総合,https://www.city.rikuzentakata.iwate.jp/soshiki/kyouikusoumuka/hakubutsukan/index.html
久慈琥珀博物館,岩手県,久慈市,指定施設,会社,科学,http://www.kuji.co.jp/museum
岩手県立平泉世界遺産ガイダンスセンター,岩手県,西磐井郡平泉町,指定施設,都道府県立,歴史,https://www.sekaiisan.pref.iwate.jp/information
宮沢賢治記念館,岩手県,花巻市,指定施設,市区町村立,歴史,https://www.city.hanamaki.iwate.jp/miyazawakenji/kinenkan/index.html
リアス・アーク美術館,宮城県,気仙沼市,登録博物館,公立その他,美術,http://rias-ark.sakura.ne.jp/2/
塩竃市杉村惇美術館,宮城県,塩竈市,登録博物館,市区町村立,美術,https://sugimurajun.shiomo.jp/
鹽竈神社博物館,宮城県,塩竈市,登録博物館,宗教法人,総合,http://www.shiogamajinja.jp/museum/
カメイ美術館,宮城県,仙台市,登録博物館,公益財団法人,総合,https://kameimuseum.or.jp/
HOKUSHU仙台市科学館,宮城県,仙台市,登録博物館,市区町村立,科学,http://www.kagakukan.sendai-c.ed.jp/
◎仙台市天文台,宮城県,仙台市,登録博物館,市区町村立,科学,https://www.sendai-astro.jp/
仙台市博物館,宮城県,仙台市,登録博物館,市区町村立,歴史,https://www.city.sendai.jp/museum/
宮城県美術館,宮城県,仙台市,登録博物館,都道府県立,美術,https://www.pref.miyagi.jp/site/mmoa/
歴史博物館青葉城資料展示館,宮城県,仙台市,登録博物館,宗教法人,歴史,https://honmarukaikan.com/s/docs/tenji/
東北歴史博物館,宮城県,多賀城市,登録博物館,都道府県立,歴史,https://www.thm.pref.miyagi.jp/
瑞巌寺宝物館,宮城県,宮城郡松島町,登録博物館,宗教法人,美術,https://zuiganji.or.jp/museum/
宮城県慶長使節船ミュージアム（サン・ファン館）,宮城県,石巻市,指定施設,都道府県立,歴史,https://www.santjuan.or.jp/
大崎市松山ふるさと歴史館,宮城県,大崎市,指定施設,市区町村立,歴史,https://www.city.osaki.miyagi.jp/shisei/soshikikarasagasu/kyoikuiinkaijimukyoku/matsuyamakominkan/1/1/2682.html
仙台市八木山動物公園,宮城県,仙台市,指定施設,市区町村立,動物園,https://www.city.sendai.jp/zoo/
東北学院大学博物館,宮城県,仙台市,指定施設,私立大学付属,歴史,https://www.tohoku-gakuin.ac.jp/facilities/museum/
東北福祉大学芹沢銈介美術工芸館,宮城県,仙台市,指定施設,公立大学付属,美術,https://www.tfu.ac.jp/kogeikan/
奥松島縄文村歴史資料館,宮城県,東松島市,指定施設,市区町村立,歴史,http://www.satohama-jomon.jp/
◎秋田県立博物館,秋田県,秋田市,登録博物館,都道府県立,総合,https://akihaku.jp/
◎秋田県立美術館,秋田県,秋田市,登録博物館,都道府県立,美術,https://www.akita-museum-of-art.jp/index.htm
◎秋田市立佐竹史料館,秋田県,秋田市,登録博物館,市区町村立,歴史,https://www.city.akita.lg.jp/kanko/kanrenshisetsu/1002685/index.html
秋田市立千秋美術館,秋田県,秋田市,登録博物館,市区町村立,美術,https://www.city.akita.lg.jp/kanko/kanrenshisetsu/1003643/index.html
小坂町立総合博物館郷土館,秋田県,鹿角郡小坂町,登録博物館,市区町村立,総合,https://www.town.kosaka.akita.jp/machinososhiki/sonotashisetsu/sogouhakubutsukan/index.html
浜辺の歌音楽館,秋田県,北秋田市,登録博物館,市区町村立,総合,https://www.city.kitaakita.akita.jp/archive/p20250430150709
大潟村干拓博物館,秋田県,南秋田郡大潟村,登録博物館,市区町村立,総合,http://museum.vill.ogata.akita.jp/
◎秋田県立近代美術館,秋田県,横手市,登録博物館,都道府県立,美術,https://akita-kinbi.jp/
秋田県児童会館,秋田県,秋田市,指定施設,都道府県立,科学,http://akita-jidoukaikan.com/
秋田大学国際資源学部附属鉱業博物館,秋田県,秋田市,指定施設,国立大学法人,科学,https://www.mus.akita-u.ac.jp/
○秋田県立農業科学館,秋田県,大仙市,指定施設,都道府県立,科学,https://www.obako.or.jp/sun-agrin/
○白瀬南極探検隊記念館,秋田県,にかほ市,指定施設,市区町村立,歴史,https://shirase-kinenkan.jp/index.html
雄物川郷土資料館,秋田県,横手市,指定施設,市区町村立,総合,https://www.city.yokote.lg.jp/shisetsu/1001528/1005103.html
横手市増田まんが美術館,秋田県,横手市,指定施設,市区町村立,美術,https://manga-museum.com/
◎斎藤茂吉記念館,山形県,上山市,登録博物館,公益財団法人,歴史,https://www.mokichi.or.jp/
本間美術館,山形県,酒田市,登録博物館,公益財団法人,美術,https://www.homma-museum.or.jp/
金峯山博物館,山形県,鶴岡市,登録博物館,宗教法人,総合,https://www.gakushubunka.jp/yugakukan/public/facilities0307-2/
致道博物館,山形県,鶴岡市,登録博物館,公益財団法人,歴史,https://www.chido.jp/
鶴岡アートフォーラム,山形県,鶴岡市,登録博物館,市区町村立,美術,https://www.t-artforum.net/
出羽三山歴史博物館,山形県,鶴岡市,登録博物館,宗教法人,歴史,http://www.dewasanzan.jp/publics/index/14/
出羽桜美術館,山形県,天童市,登録博物館,公益財団法人,美術,https://www.dewazakura.co.jp/museum/
掬粋巧芸館,山形県,東置賜郡川西町,登録博物館,一般財団法人,美術,http://www.taruhei.co.jp/MuseumFolder/
◎山形県立博物館、山形県立博物館教育資料館,山形県,山形市,登録博物館,都道府県立,総合,https://www.yamagata-museum.jp/
◎山形美術館,山形県,山形市,登録博物館,公益財団法人,美術,http://www.yamagata-art-museum.or.jp/
上杉神社稽照殿,山形県,米沢市,登録博物館,宗教法人,歴史,https://www.uesugi-jinja.or.jp/keishoden/
◎公益財団法人宮坂考古館,山形県,米沢市,登録博物館,公益財団法人,歴史,http://www.miyasakakoukokan.com/
米沢市上杉博物館,山形県,米沢市,登録博物館,市区町村立,歴史,https://www.denkoku-no-mori.yonezawa.yamagata.jp/uesugi.htm
天童市美術館,山形県,天童市,指定施設,市区町村立,美術,http://tendocity-museum.jp/
最上義光歴史館,山形県,山形市,指定施設,市区町村立,歴史,http://mogamiyoshiaki.jp/
山形市野草園,山形県,山形市,指定施設,市区町村立,植物園,https://www.yasouen.jp/
○山形大学附属博物館,山形県,山形市,指定施設,国立大学法人,総合,http://museum.yamagata-u.ac.jp/
山寺芭蕉記念館,山形県,山形市,指定施設,市区町村立,歴史,http://samidare.jp/basho/
◎福島県立博物館,福島県,会津若松市,登録博物館,都道府県立,総合,https://general-museum.fcs.ed.jp/
いわき市立美術館,福島県,いわき市,登録博物館,市区町村立,美術,http://www.city.iwaki.lg.jp/www/genre/1444022369394/index.html
◎ふくしま海洋科学館,福島県,いわき市,登録博物館,都道府県立,水族館,https://www.aquamarine.or.jp/
◎郡山開成学園生活文化博物館,福島県,郡山市,登録博物館,私立学校法人,歴史,https://www.koriyama-kgc.ac.jp/campus/lcm
郡山市立美術館,福島県,郡山市,登録博物館,市区町村立,美術,https://www.city.koriyama.lg.jp/site/artmuseum/
◎郡山市歴史情報博物館,福島県,郡山市,登録博物館,市区町村立,歴史,https://www.city.koriyama.lg.jp/site/historymuseum/
藤田記念博物館,福島県,白河市,登録博物館,公益財団法人,歴史,https://fujitakinenhakubutsukan.amebaownd.com/
須賀川市立博物館,福島県,須賀川市,登録博物館,市区町村立,歴史,https://www.city.sukagawa.fukushima.jp/bunka_sports/bunka_geijyutsu/hakubutsukan/index.html
◎福島県立美術館,福島県,福島市,登録博物館,都道府県立,美術,https://art-museum.fcs.ed.jp/
◎奥会津博物館,福島県,南会津郡南会津町,登録博物館,市区町村立,歴史,https://www.town.minamiaizu.lg.jp/official/bunka_sports_kanko/bunka/okuaizuhakubutsukan/index.html
南相馬市博物館,福島県,南相馬市,登録博物館,市区町村立,総合,https://www.city.minamisoma.lg.jp/portal/culture/museum/index.html
会津民俗館,福島県,耶麻郡猪苗代町,登録博物館,一般財団法人,歴史,https://www.aiaiaizu.com/aizuminzokukan/
野口英世記念館,福島県,耶麻郡猪苗代町,登録博物館,公益財団法人,歴史,https://www.noguchihideyo.or.jp/
諸橋近代美術館,福島県,耶麻郡北塩原村,登録博物館,公益財団法人,美術,https://dali.jp/
會津藩校日新館,福島県,会津若松市,指定施設,会社,歴史,https://nisshinkan.jp/
会津武家屋敷会津歴史資料館,福島県,会津若松市,指定施設,会社,歴史,http://bukeyashiki.com/
やないづ町立斎藤清美術館,福島県,河沼郡柳津町,指定施設,市区町村立,美術,https://www.town.yanaizu.fukushima.jp/bijutsu/
○喜多方市美術館,福島県,喜多方市,指定施設,市区町村立,美術,http://www.kcmofa.com/
安積歴史博物館,福島県,郡山市,指定施設,公益財団法人,歴史,https://anrekihaku.or.jp/
はじまりの美術館,福島県,耶麻郡猪苗代町,指定施設,社会福祉法人,美術,https://hajimari-ac.com/
磐梯山噴火記念館,福島県,耶麻郡北塩原村,指定施設,会社,歴史,http://www.bandaimuse.jp/
◎茨城県陶芸美術館,茨城県,笠間市,登録博物館,都道府県立,美術,https://www.tougei.museum.ibk.ed.jp/index.html
笠間日動美術館,茨城県,笠間市,登録博物館,公益財団法人,美術,http://www.nichido-museum.or.jp/
かすみがうら市歴史博物館,茨城県,かすみがうら市,登録博物館,市区町村立,歴史,https://www.city.kasumigaura.lg.jp/page/dir003355.html
古河歴史博物館,茨城県,古河市,登録博物館,市区町村立,歴史,https://www.kogakanko.jp/spot/tour/rekihaku
◎しもだて美術館,茨城県,筑西市,登録博物館,市区町村立,美術,https://www.city.chikusei.lg.jp/page/dir004549.html
つくばエキスポセンター,茨城県,つくば市,登録博物館,公益財団法人,科学,https://www.expocenter.or.jp/
◎上高津貝塚ふるさと歴史の広場,茨城県,土浦市,登録博物館,市区町村立,歴史,https://www.city.tsuchiura.lg.jp/kamitakatsukaizuka/index.html
◎土浦市立博物館,茨城県,土浦市,登録博物館,市区町村立,歴史,https://www.city.tsuchiura.lg.jp/tsuchiurashiritsuhakubutsukan/index.html
原子力科学館,茨城県,那珂郡東海村,登録博物館,公益財団法人,科学,http://ibagen.or.jp/
◎ミュージアムパーク茨城県自然博物館,茨城県,坂東市,登録博物館,都道府県立,科学,https://www.nat.museum.ibk.ed.jp/
大洗町幕末と明治の博物館,茨城県,東茨城郡大洗町,登録博物館,市区町村立,歴史,https://www.bakumatsu-meiji.com/
常陸太田市郷土資料館,茨城県,常陸太田市,登録博物館,市区町村立,総合,https://www.city.hitachiota.ibaraki.jp/page/dir004387.html
日立市郷土博物館,茨城県,日立市,登録博物館,市区町村立,総合,https://www.city.hitachi.lg.jp/museum/
◎茨城県近代美術館・つくば分館・天心記念五浦分館,茨城県,水戸市,登録博物館,都道府県立,美術,http://www.modernart.museum.ibk.ed.jp/
◎茨城県立歴史館,茨城県,水戸市,登録博物館,都道府県立,歴史,https://rekishikan-ibk.jp/
徳川ミュージアム,茨城県,水戸市,登録博物館,公益財団法人,歴史,https://www.tokugawa.gr.jp/
◎水戸市立博物館,茨城県,水戸市,登録博物館,市区町村立,総合,http://shihaku1.hs.plala.or.jp/
ツムラ漢方記念館,茨城県,稲敷郡阿見町,指定施設,会社,科学,https://www.tsumura.co.jp/hellotsumura/
茨城県霞ケ浦環境科学センター,茨城県,土浦市,指定施設,都道府県立,科学,https://www.pref.ibaraki.jp/soshiki/seikatsukankyo/kasumigauraesc/
アクアワールド茨城県大洗水族館,茨城県,東茨城郡大洗町,指定施設,都道府県立,水族館,https://www.aquaworld-oarai.com/
大洗海洋博物館,茨城県,東茨城郡大洗町,指定施設,宗教法人,科学,https://www.oarai-isosakijinja.net/hakubutukan/
日立市かみね動物園,茨城県,日立市,指定施設,市区町村立,動物園,https://www.city.hitachi.lg.jp/zoo/
常磐神社・義烈館（水戸黄門宝物館）,茨城県,水戸市,指定施設,宗教法人,歴史,https://komonsan.jp/giretsukan/
水戸芸術館,茨城県,水戸市,指定施設,市区町村立,美術,https://www.arttowermito.or.jp/
足利市立美術館,栃木県,足利市,登録博物館,市区町村立,美術,http://www.watv.ne.jp/ashi-bi/
大久保分校スタートアップミュージアム,栃木県,足利市,登録博物館,一般財団法人,美術,https://okubomuseum.com
栗田美術館,栃木県,足利市,登録博物館,一般財団法人,美術,http://www.kurita.or.jp/
◎宇都宮動物園,栃木県,宇都宮市,登録博物館,会社,動物園,https://utsunomiya-zoo.com/
宇都宮美術館,栃木県,宇都宮市,登録博物館,市区町村立,美術,http://u-moa.jp/
◎栃木県立博物館,栃木県,宇都宮市,登録博物館,都道府県立,総合,http://www.muse.pref.tochigi.lg.jp/
◎栃木県立美術館,栃木県,宇都宮市,登録博物館,都道府県立,美術,http://www.art.pref.tochigi.lg.jp/
小山市立博物館,栃木県,小山市,登録博物館,市区町村立,歴史,https://www.city.oyama.tochigi.jp/site/hakubutu/
