MuseumList_20251106,,,,,,
名称,都道府県,市区町村,登録状況,設置者,館種,公式HP
SOMPO美術館,東京都,新宿区,登録博物館,公益財団法人,美術,https://www.sompo-museum.org/
◎草間彌生美術館,東京都,新宿区,登録博物館,一般財団法人,美術,https://yayoikusamamuseum.jp/
佐藤美術館,東京都,新宿区,登録博物館,公益財団法人,美術,http://sato-museum.la.coocan.jp/
新宿区立新宿歴史博物館,東京都,新宿区,登録博物館,市区町村立,歴史,https://www.regasu-shinjuku.or.jp/rekihaku/
東京オペラシティアートギャラリー,東京都,新宿区,登録博物館,公益財団法人,美術,https://www.operacity.jp/ag/
民音音楽博物館,東京都,新宿区,登録博物館,一般財団法人,歴史,https://museum.min-on.or.jp/
杉並区立郷土博物館,東京都,杉並区,登録博物館,市区町村立,総合,https://www.city.suginami.tokyo.jp/histmus/
相撲博物館,東京都,墨田区,登録博物館,公益財団法人,歴史,https://www.sumo.or.jp/KokugikanSumoMuseum/
刀剣博物館,東京都,墨田区,登録博物館,公益財団法人,美術,https://www.touken.or.jp/museum/
賀川豊彦記念松沢資料館,東京都,世田谷区,登録博物館,公益財団法人,歴史,https://www.t-kagawa.or.jp/
五島美術館,東京都,世田谷区,登録博物館,公益財団法人,美術,https://www.gotoh-museum.or.jp/
◎駒澤大学禅文化歴史博物館,東京都,世田谷区,登録博物館,私立学校法人,歴史,https://www.komazawa-u.ac.jp/facilities/museum/
齋田記念館,東京都,世田谷区,登録博物館,一般財団法人,歴史,https://saita-museum.jp/
◎世田谷区立郷土資料館,東京都,世田谷区,登録博物館,市区町村立,歴史,https://www.city.setagaya.lg.jp/bunkasports/shougaigakushuu/category/12536.html
長谷川町子美術館,東京都,世田谷区,登録博物館,一般財団法人,美術,https://www.hasegawamachiko.jp/
上野の森美術館,東京都,台東区,登録博物館,公益財団法人,美術,https://www.ueno-mori.org/
大名時計博物館,東京都,台東区,登録博物館,一般財団法人,美術,http://ogino.c.ooco.jp/gijutu/tokei.htm
横山大観記念館,東京都,台東区,登録博物館,公益財団法人,美術,https://taikan.tokyo/
昭和天皇記念館,東京都,立川市,登録博物館,公益財団法人,総合,https://f-showa.or.jp/museum/
アーティゾン美術館,東京都,中央区,登録博物館,公益財団法人,美術,https://www.artizon.museum/
三井記念美術館,東京都,中央区,登録博物館,公益財団法人,美術,https://www.mitsui-museum.jp/
調布市郷土博物館,東京都,調布市,登録博物館,市区町村立,総合,https://www.city.chofu.lg.jp/100200/p073000.html
出光美術館,東京都,千代田区,登録博物館,公益財団法人,美術,http://idemitsu-museum.or.jp/
科学技術館,東京都,千代田区,登録博物館,公益財団法人,科学,https://www.jsf.or.jp/
◎共立女子大学博物館,東京都,千代田区,登録博物館,私立学校法人,美術,https://www.kyoritsu-wu.ac.jp/muse/
静嘉堂文庫美術館,東京都,千代田区,登録博物館,公益財団法人,美術,https://www.seikado.or.jp/
東京ステーションギャラリー,東京都,千代田区,登録博物館,公益財団法人,美術,https://www.ejrcf.or.jp/gallery/index.html
日本カメラ博物館,東京都,千代田区,登録博物館,一般財団法人,総合,https://www.jcii-cameramuseum.jp/
◎三菱一号館美術館,東京都,千代田区,登録博物館,会社,美術,https://mimt.jp
◎明治大学博物館,東京都,千代田区,登録博物館,私立学校法人,歴史,https://www.meiji.ac.jp/museum/
切手の博物館,東京都,豊島区,登録博物館,一般財団法人,歴史,https://kitte-museum.jp/
古代オリエント博物館,東京都,豊島区,登録博物館,公益財団法人,歴史,https://aom-tokyo.com/
ちひろ美術館・東京,東京都,練馬区,登録博物館,公益財団法人,美術,https://chihiro.jp/tokyo/
◎東京富士美術館,東京都,八王子市,登録博物館,公益財団法人,美術,https://www.fujibi.or.jp/
八王子市郷土資料館,東京都,八王子市,登録博物館,市区町村立,歴史,https://www.city.hachioji.tokyo.jp/kankobunka/003/005/p005312.html
羽村市郷土博物館,東京都,羽村市,登録博物館,市区町村立,総合,https://www.city.hamura.tokyo.jp/0000005474.html
東村山ふるさと歴史館,東京都,東村山市,登録博物館,市区町村立,歴史,https://www.city.higashimurayama.tokyo.jp/tanoshimi/rekishi/furusato/index.html
東大和市立郷土博物館,東京都,東大和市,登録博物館,市区町村立,総合,https://www.city.higashiyamato.lg.jp/bunkasports/museum/index.html
府中市郷土の森博物館,東京都,府中市,登録博物館,市区町村立,総合,http://www.fuchu-cpf.or.jp/museum/
府中市美術館,東京都,府中市,登録博物館,市区町村立,美術,https://www.city.fuchu.tokyo.jp/art/
◎永青文庫,東京都,文京区,登録博物館,公益財団法人,美術,https://www.eiseibunko.com/
◎日本女子大学成瀬記念館,東京都,文京区,登録博物館,私立学校法人,歴史,https://www.jwu.ac.jp/unv/about/naruse_memorial/index.html
野球殿堂博物館,東京都,文京区,登録博物館,公益財団法人,歴史,https://baseball-museum.or.jp/
中近東文化センター付属博物館,東京都,三鷹市,登録博物館,公益財団法人,美術,http://www.meccj.or.jp/
ＮＨＫ放送博物館,東京都,港区,登録博物館,特殊法人,科学,http://www.nhk.or.jp/museum/
荏原 畠山美術館,東京都,港区,登録博物館,公益財団法人,美術,https://www.hatakeyama-museum.org
大倉集古館,東京都,港区,登録博物館,公益財団法人,美術,https://www.shukokan.org/
◎お茶の文化創造博物館,東京都,港区,登録博物館,会社,歴史,https://www.ochamuseum.jp/culture/
菊池寛実記念智美術館,東京都,港区,登録博物館,公益財団法人,美術,https://www.musee-tomo.or.jp/
◎慶應義塾大学アート・センター,東京都,港区,登録博物館,私立学校法人,美術,http://www.art-c.keio.ac.jp/
◎泉屋博古館東京,東京都,港区,登録博物館,公益財団法人,美術,https://sen-oku.or.jp/tokyo/
◎根津美術館,東京都,港区,登録博物館,公益財団法人,美術,https://www.nezu-muse.or.jp/
物流博物館,東京都,港区,登録博物館,公益財団法人,総合,http://www.lmuse.or.jp/
◎日本獣医生命科学大学付属博物館,東京都,武蔵野市,登録博物館,私立学校法人,総合,https://www.nvlu.ac.jp/universityinstitution/004.html/
宗教法人長泉院附属現代彫刻美術館,東京都,目黒区,登録博物館,宗教法人,美術,http://museum-of-sculpture.org/
日本民藝館,東京都,目黒区,登録博物館,公益財団法人,美術,https://mingeikan.or.jp/
◎目黒寄生虫館,東京都,目黒区,登録博物館,公益財団法人,科学,https://www.kiseichu.org/
東京家政大学博物館,東京都,板橋区,指定施設,私立大学付属,歴史,https://www.tokyo-kasei.ac.jp/academics/museum/
葛西臨海水族園,東京都,江戸川区,指定施設,都道府県立,水族館,https://www.tokyo-zoo.net/zoo/kasai/
東京都現代美術館,東京都,江東区,指定施設,都道府県立,美術,https://www.mot-art-museum.jp/
○東京農工大学科学博物館,東京都,小金井市,指定施設,国立大学法人,科学,https://www.tuat-museum.org/
杉野学園衣裳博物館,東京都,品川区,指定施設,私立学校法人,歴史,https://www.costumemuseum.jp/
Bunkamuraザ・ミュージアム,東京都,渋谷区,指定施設,会社,美術,https://www.bunkamura.co.jp/museum/
國學院大學博物館,東京都,渋谷区,指定施設,私立学校法人,歴史,http://museum.kokugakuin.ac.jp/
実践女子学園香雪記念資料館,東京都,渋谷区,指定施設,私立学校法人,美術,https://www.jissen.ac.jp/kosetsu/
文化学園服飾博物館,東京都,渋谷区,指定施設,私立学校法人,歴史,https://museum.bunka.ac.jp/
明治神宮宝物殿（分館　明治神宮ミュージアム）,東京都,渋谷区,指定施設,宗教法人,歴史,https://www.meijijingu.or.jp/museum/houmotsuden/
○秩父宮記念スポーツ博物館,東京都,新宿区,指定施設,独立行政法人,歴史,https://www.jpnsport.go.jp/muse/
帝国データバンク史料館,東京都,新宿区,指定施設,会社,歴史,https://www.tdb-muse.jp/
東京理科大学近代科学資料館,東京都,新宿区,指定施設,私立学校法人,科学,https://www.tus.ac.jp/info/setubi/museum/
早稲田大学會津八一記念博物館,東京都,新宿区,指定施設,私立学校法人,美術,https://www.waseda.jp/culture/aizu-museum/
早稲田大学坪内博士記念演劇博物館,東京都,新宿区,指定施設,私立学校法人,歴史,https://enpaku.w.waseda.jp/
すみだ郷土文化資料館,東京都,墨田区,指定施設,市区町村立,総合,https://www.city.sumida.lg.jp/sisetu_info/siryou/kyoudobunka/
東京都江戸東京博物館（分館　江戸東京たてもの園）,東京都,墨田区,指定施設,都道府県立,歴史,https://www.edo-tokyo-museum.or.jp/
昭和女子大学光葉博物館,東京都,世田谷区,指定施設,私立学校法人,歴史,https://museum.swu.ac.jp/
世田谷区立世田谷美術館,東京都,世田谷区,指定施設,市区町村立,美術,https://www.setagayaartmuseum.or.jp/
世田谷区立世田谷文学館,東京都,世田谷区,指定施設,市区町村立,歴史,https://www.setabun.or.jp/
東京農業大学「食と農」の博物館,東京都,世田谷区,指定施設,私立学校法人,総合,https://www.nodai.ac.jp/campus/facilities/syokutonou/
日本大学文理学部資料館,東京都,世田谷区,指定施設,私立学校法人,総合,https://chs.nihon-u.ac.jp/campus-life/kyogaku-s/museum/
恩賜上野動物園,東京都,台東区,指定施設,都道府県立,動物園,https://www.tokyo-zoo.net/zoo/ueno/
国立科学博物館,東京都,台東区,指定施設,独立行政法人,科学,https://www.kahaku.go.jp/
国立西洋美術館,東京都,台東区,指定施設,独立行政法人,美術,http://www.nmwa.go.jp/jp/
東京国立博物館,東京都,台東区,指定施設,独立行政法人,美術,https://www.tnm.jp/
東京都美術館,東京都,台東区,指定施設,都道府県立,美術,https://www.tobikan.jp/
多摩美術大学附属美術館,東京都,多摩市,指定施設,私立学校法人,美術,https://museum.tamabi.ac.jp/
国立映画アーカイブ,東京都,中央区,指定施設,独立行政法人,美術,https://www.nfaj.go.jp/
大妻女子大学博物館,東京都,千代田区,指定施設,私立学校法人,歴史,https://www.museum.otsuma.ac.jp/
○皇居三の丸尚蔵館,東京都,千代田区,指定施設,独立行政法人,美術,https://shozokan.nich.go.jp/
東京国立近代美術館本館,東京都,千代田区,指定施設,独立行政法人,美術,https://www.momat.go.jp/
学習院大学史料館,東京都,豊島区,指定施設,私立学校法人,歴史,https://www.gakushuin.ac.jp/univ/ua/
東京工芸大学芸術学部写大ギャラリー,東京都,中野区,指定施設,私立学校法人,美術,http://www.shadai.t-kougei.ac.jp/index.html
多摩六都科学館,東京都,西東京市,指定施設,公立その他,科学,https://www.tamarokuto.or.jp/
日本大学芸術学部芸術資料館,東京都,練馬区,指定施設,私立学校法人,美術,https://www.art.nihon-u.ac.jp/facility/attached/archives/
練馬区立美術館,東京都,練馬区,指定施設,市区町村立,美術,https://www.neribun.or.jp/museum.html
東京造形大学附属美術館,東京都,八王子市,指定施設,私立学校法人,美術,https://www.zokei.ac.jp/museum/
村内美術館,東京都,八王子市,指定施設,公益財団法人,美術,https://www.murauchi.net/museum/
多摩動物公園,東京都,日野市,指定施設,都道府県立,動物園,https://www.tokyo-zoo.net/zoo/tama/
東洋大学井上円了記念博物館,東京都,文京区,指定施設,私立学校法人,歴史,https://www.toyo.ac.jp/about/founder/iecp/museum/
玉川大学小原國芳記念教育博物館,東京都,町田市,指定施設,私立学校法人,歴史,https://www.tamagawa.jp/campus/institutions/museum/
東京家政学院生活文化博物館,東京都,町田市,指定施設,私立学校法人,歴史,https://www.kasei-gakuin.ac.jp/campuslife/museum/
国際基督教大学博物館湯浅八郎記念館,東京都,三鷹市,指定施設,私立学校法人,歴史,https://subsites.icu.ac.jp/yuasa_museum/index.html
アドミュージアム東京,東京都,港区,指定施設,公益財団法人,歴史,https://www.admt.jp/
○北里柴三郎記念博物館,東京都,港区,指定施設,公立学校法人,歴史,https://www.kitasato.ac.jp/jp/kinen-shitsu/index.html
東京海洋大学マリンサイエンスミュージアム,東京都,港区,指定施設,国立大学法人,科学,https://www.s.kaiyodai.ac.jp/msm/index.html
東京都庭園美術館,東京都,港区,指定施設,都道府県立,美術,https://www.teien-art-museum.ne.jp/
パナソニック汐留美術館,東京都,港区,指定施設,会社,美術,https://panasonic.co.jp/ew/museum/
森美術館,東京都,港区,指定施設,会社,美術,https://www.mori.art.museum/jp/
井の頭自然文化園,東京都,武蔵野市,指定施設,都道府県立,動・水・植物園,https://www.tokyo-zoo.net/zoo/ino/
成蹊学園史料館,東京都,武蔵野市,指定施設,私立学校法人,歴史,https://www.seikei.ac.jp/gakuen/archive/
東京科学大学博物館,東京都,目黒区,指定施設,国立大学法人,歴史,http://www.cent.titech.ac.jp/
東京都写真美術館,東京都,目黒区,指定施設,都道府県立,美術,https://topmuseum.jp/
愛川町郷土資料館,神奈川県,愛甲郡愛川町,登録博物館,市区町村立,総合,https://www.town.aikawa.kanagawa.jp/soshiki/kyouikuiinkai/spobun/kyodo/index.html
彫刻の森美術館,神奈川県,足柄下郡箱根町,登録博物館,公益財団法人,美術,https://www.hakone-oam.or.jp/
箱根町立郷土資料館,神奈川県,足柄下郡箱根町,登録博物館,市区町村立,総合,https://www.town.hakone.kanagawa.jp/www/contents/1100000002051/index.html
箱根美術館,神奈川県,足柄下郡箱根町,登録博物館,公益財団法人,美術,https://www.moaart.or.jp/hakone/
◎ポーラ美術館,神奈川県,足柄下郡箱根町,登録博物館,公益財団法人,美術,https://www.polamuseum.or.jp/
町立湯河原美術館,神奈川県,足柄下郡湯河原町,登録博物館,市区町村立,美術,https://www.town.yugawara.kanagawa.jp/site/museum/
あつぎ郷土博物館,神奈川県,厚木市,登録博物館,市区町村立,総合,https://www.city.atsugi.kanagawa.jp/atsugicitymuseum/index.html
◎ロマンスカーミュージアム,神奈川県,海老名市,登録博物館,会社,科学,https://www.odakyu.jp/romancecarmuseum/
小田原文化財団　江之浦測候所,神奈川県,小田原市,登録博物館,公益財団法人,美術,https://www.odawara-af.com/ja/enoura/
◎神奈川県立生命の星・地球博物館,神奈川県,小田原市,登録博物館,都道府県立,科学,https://nh.kanagawa-museum.jp/
◎報徳博物館,神奈川県,小田原市,登録博物館,公益財団法人,歴史,https://www.hotoku.or.jp/
鎌倉国宝館,神奈川県,鎌倉市,登録博物館,市区町村立,美術,https://www.city.kamakura.kanagawa.jp/kokuhoukan/
川崎市立日本民家園,神奈川県,川崎市,登録博物館,市区町村立,歴史,https://www.nihonminkaen.jp/
かわさき宙と緑の科学館（川崎市青少年科学館）,神奈川県,川崎市,登録博物館,市区町村立,科学,https://www.nature-kawasaki.jp/
相模原市立博物館,神奈川県,相模原市,登録博物館,市区町村立,総合,https://sagamiharacitymuseum.jp/
◎茅ヶ崎市博物館,神奈川県,茅ヶ崎市,登録博物館,市区町村立,総合,https://chigamu.jp/
◎大磯町郷土資料館,神奈川県,中郡大磯町,登録博物館,市区町村立,総合,http://www.town.oiso.kanagawa.jp/oisomuseum/index.html
徳富蘇峰記念館,神奈川県,中郡二宮町,登録博物館,公益財団法人,歴史,http://www.soho-tokutomi.or.jp/
はだの歴史博物館,神奈川県,秦野市,登録博物館,市区町村立,歴史,https://www.city.hadano.kanagawa.jp/www/contents/1001000004542/index.html
平塚市博物館,神奈川県,平塚市,登録博物館,市区町村立,総合,https://www.hirahaku.jp/
◎平塚市美術館,神奈川県,平塚市,登録博物館,市区町村立,美術,https://www.city.hiratsuka.kanagawa.jp/art-muse/index.html
◎新江ノ島水族館,神奈川県,藤沢市,登録博物館,会社,水族館,https://www.enosui.com/
◎日本大学生物資源科学部博物館,神奈川県,藤沢市,登録博物館,私立大学付属,科学,https://hp.brs.nihon-u.ac.jp/~museum/
◎神奈川県立近代美術館,神奈川県,三浦郡葉山町,登録博物館,都道府県立,美術,http://www.moma.pref.kanagawa.jp/
葉山しおさい博物館,神奈川県,三浦郡葉山町,登録博物館,市区町村立,科学,https://www.town.hayama.lg.jp/soshiki/shougaigakushuu/2/1701.html
◎山口蓬春記念館,神奈川県,三浦郡葉山町,登録博物館,公益財団法人,美術,https://www.hoshun.jp/
横須賀市自然博物館,神奈川県,横須賀市,登録博物館,市区町村立,科学,https://www.museum.yokosuka.kanagawa.jp/
横須賀市人文博物館,神奈川県,横須賀市,登録博物館,市区町村立,歴史,https://www.museum.yokosuka.kanagawa.jp/
◎横須賀美術館,神奈川県,横須賀市,登録博物館,市区町村立,美術,https://www.yokosuka-moa.jp/
馬の博物館,神奈川県,横浜市,登録博物館,公益財団法人,歴史,https://www.bajibunka.or.jp/uma/index.php
◎神奈川県立金沢文庫,神奈川県,横浜市,登録博物館,都道府県立,歴史,https://www.pen-kanagawa.ed.jp/kanazawabunko/index.html
◎神奈川県立歴史博物館,神奈川県,横浜市,登録博物館,都道府県立,歴史,https://ch.kanagawa-museum.jp/
シルク博物館,神奈川県,横浜市,登録博物館,一般財団法人,総合,https://www.silkcenter-kbkk.jp/museum/
そごう美術館,神奈川県,横浜市,登録博物館,一般財団法人,美術,https://www.sogo-seibu.jp/common/museum/
◎日本新聞博物館（ニュースパーク）,神奈川県,横浜市,登録博物館,一般社団法人,歴史,https://newspark.jp/
日吉の森庭園美術館,神奈川県,横浜市,登録博物館,公益財団法人,美術,http://hiyoshinomori.com/
箱根・芦ノ湖成川美術館,神奈川県,足柄下郡箱根町,指定施設,一般財団法人,美術,http://www.narukawamuseum.co.jp/
箱根神社宝物殿,神奈川県,足柄下郡箱根町,指定施設,宗教法人,歴史,https://hakonejinja.or.jp/hakone/houmotsuden.html
箱根ラリック美術館,神奈川県,足柄下郡箱根町,指定施設,会社,美術,http://www.lalique-museum.com/
松蔭大学資料館,神奈川県,厚木市,指定施設,私立大学付属,歴史,https://www.shoin-u.ac.jp/campus/museum/
東京農業大学農学部植物園,神奈川県,厚木市,指定施設,私立大学付属,植物園,https://www.nodai.ac.jp/academics/agri/garden/
小田原市郷土文化館,神奈川県,小田原市,指定施設,市区町村立,総合,https://www.city.odawara.kanagawa.jp/public-i/facilities/kyodo/
鎌倉彫資料館,神奈川県,鎌倉市,指定施設,組合,美術,http://kamakuraborikaikan.jp/museum/
女子美術館大学美術館　女子美アートミュージアム,神奈川県,相模原市,指定施設,私立大学付属,美術,http://www.joshibi.net/museum/jam/
茅ケ崎市美術館,神奈川県,茅ヶ崎市,指定施設,市区町村立,美術,https://www.chigasaki-museum.jp/
東海大学松前記念館（歴史と未来の博物館）,神奈川県,平塚市,指定施設,私立大学付属,歴史,http://www.kinenkan.u-tokai.ac.jp/
観音崎自然博物館,神奈川県,横須賀市,指定施設,公益社団法人,歴史,https://kannonzaki-nature-museum.jimdofree.com/
横浜・八景島シーパラダイスアクアリゾーツ,神奈川県,横浜市,指定施設,会社,水族館,http://www.seaparadise.co.jp/aquaresorts/index.html
横浜市立金沢動物園,神奈川県,横浜市,指定施設,市区町村立,動物園,https://www.hama-midorinokyokai.or.jp/zoo/kanazawa/
横浜市立野毛山動物園,神奈川県,横浜市,指定施設,市区町村立,動物園,https://www.hama-midorinokyokai.or.jp/zoo/nogeyama/
横浜市立よこはま動物園ズーラシア,神奈川県,横浜市,指定施設,市区町村立,動物園,https://www.hama-midorinokyokai.or.jp/zoo/zoorasia/
横浜美術館,神奈川県,横浜市,指定施設,市区町村立,美術,https://yokohama.art.museum/
柏崎市立博物館,新潟県,柏崎市,登録博物館,市区町村立,総合,https://www.city.kashiwazaki.lg.jp/k_museum/index.html
木村茶道美術館,新潟県,柏崎市,登録博物館,公益財団法人,美術,http://sadoukan.jp/
相川郷土博物館,新潟県,佐渡市,登録博物館,市区町村立,総合,https://www.city.sado.niigata.jp/site/museum/60583.html
佐渡国小木民俗博物館,新潟県,佐渡市,登録博物館,市区町村立,歴史,https://www.city.sado.niigata.jp/site/museum/458.html
佐渡植物園,新潟県,佐渡市,登録博物館,市区町村立,植物園,https://www.city.sado.niigata.jp/site/museum/461.html
佐渡博物館,新潟県,佐渡市,登録博物館,市区町村立,総合,https://www.city.sado.niigata.jp/site/museum/457.html
両津郷土博物館,新潟県,佐渡市,登録博物館,市区町村立,総合,https://www.city.sado.niigata.jp/site/museum/460.html
小林古径記念美術館,新潟県,上越市,登録博物館,市区町村立,美術,https://www.city.joetsu.niigata.jp/site/kokei/
上越市立水族博物館,新潟県,上越市,登録博物館,市区町村立,水族館,https://www.umigatari.jp/joetsu/
上越市立歴史博物館,新潟県,上越市,登録博物館,市区町村立,歴史,https://www.city.joetsu.niigata.jp/site/museum/
大棟山美術博物館,新潟県,十日町市,登録博物館,一般財団法人,美術,https://daitozan.jimdofree.com/
十日町市博物館,新潟県,十日町市,登録博物館,市区町村立,総合,https://www.tokamachi-museum.jp/
駒形十吉記念美術館,新潟県,長岡市,登録博物館,一般財団法人,美術,https://www.komagata-museum.com/
長岡市寺泊水族博物館,新潟県,長岡市,登録博物館,市区町村立,水族館,https://aquarium-teradomari.jp/
長岡市栃尾美術館,新潟県,長岡市,登録博物館,市区町村立,美術,https://www.lib.city.nagaoka.niigata.jp/?page_id=135
長岡市立科学博物館,新潟県,長岡市,登録博物館,市区町村立,総合,https://www.museum.city.nagaoka.niigata.jp/
新潟県立近代美術館,新潟県,長岡市,登録博物館,都道府県立,美術,https://kinbi.pref.niigata.lg.jp/
知足美術館,新潟県,新潟市,登録博物館,公益財団法人,美術,https://chisoku.jp/
敦井美術館,新潟県,新潟市,登録博物館,公益財団法人,美術,https://www.tsurui.co.jp/museum/
新潟県立万代島美術館,新潟県,新潟市,登録博物館,都道府県立,美術,https://banbi.pref.niigata.lg.jp/
新潟市北区郷土博物館,新潟県,新潟市,登録博物館,市区町村立,総合,https://www.city.niigata.lg.jp/kita/shisetsu/yoka/bunka/kyodo/index.html
新津記念館,新潟県,新潟市,登録博物館,公益財団法人,歴史,https://www.marushin-group.co.jp/kinenkan/
◎一般財団法人　北方文化博物館,新潟県,新潟市,登録博物館,一般財団法人,歴史,https://hoppou-bunka.com/
雪梁舎美術館,新潟県,新潟市,登録博物館,公益財団法人,美術,https://www.komeri.bit.or.jp/setsuryosha/
出雲崎町　良寛記念館,新潟県,三島郡出雲崎町,登録博物館,市区町村立,歴史,http://www.ryokan-kinenkan.jp/
池田記念美術館,新潟県,南魚沼市,登録博物館,市区町村立,美術,http://www.ikedaart.jp/
魚沼市宮柊二記念館,新潟県,魚沼市,指定施設,市区町村立,歴史,https://www.city.uonuma.lg.jp/site/miyashuji/
鍛冶ミュージアム,新潟県,三条市,指定施設,市区町村立,歴史,https://sanjo-machiyama.jp/blacksmithmuseum/
燕市産業史料館,新潟県,燕市,指定施設,市区町村立,歴史,http://tsubame-shiryoukan.jp/index.html
新潟県立歴史博物館,新潟県,長岡市,指定施設,都道府県立,歴史,http://nbz.or.jp/
新潟市會津八一記念館,新潟県,新潟市,指定施設,市区町村立,歴史,https://aizuyaichi.or.jp/
新潟市新津美術館,新潟県,新潟市,指定施設,市区町村立,美術,https://www.city.niigata.lg.jp/nam/
新潟市美術館,新潟県,新潟市,指定施設,市区町村立,美術,http://www.ncam.jp/sp/
新潟市歴史博物館,新潟県,新潟市,指定施設,市区町村立,歴史,https://www.nchm.jp/
新潟大学旭町学術資料展示館,新潟県,新潟市,指定施設,国立大学法人,歴史,https://www.lib.niigata-u.ac.jp/tenjikan/
日本歯科大学新潟生命歯学部「医の博物館」,新潟県,新潟市,指定施設,私立大学付属,歴史,https://www.ngt.ndu.ac.jp/museum/
射水市新湊博物館,富山県,射水市,登録博物館,市区町村立,歴史,https://shinminato-museum.jp/
魚津水族博物館,富山県,魚津市,登録博物館,市区町村立,水族館,https://www.uozu-aquarium.jp/
魚津歴史民俗博物館,富山県,魚津市,登録博物館,市区町村立,歴史,https://www.city.uozu.toyama.jp/hp/svFacHP.aspx?faccd=B080307
特別天然記念物魚津埋没林博物館,富山県,魚津市,登録博物館,市区町村立,科学,https://www.city.uozu.toyama.jp/nekkolnd/
小矢部市大谷博物館,富山県,小矢部市,登録博物館,市区町村立,歴史,https://www.city.oyabe.toyama.jp/bunkasports/1003003/1003024/index.html
黒部市美術館,富山県,黒部市,登録博物館,市区町村立,美術,https://www.city.kurobe.toyama.jp/category/page.aspx?servno=79
黒部市吉田科学館,富山県,黒部市,登録博物館,市区町村立,科学,https://kysm.or.jp/
朝日町立ふるさと美術館,富山県,下新川郡朝日町,登録博物館,市区町村立,美術,https://www.town.asahi.toyama.jp/section/buntai/bijyutukanannai.html
一般財団法人　百河豚美術館,富山県,下新川郡朝日町,登録博物館,一般財団法人,美術,http://ippukumuseum.g2.xrea.com//index.html
宮崎自然博物館,富山県,下新川郡朝日町,登録博物館,市区町村立,科学,https://www.town.asahi.toyama.jp/soshiki/kyoiku/syougaigakusyuu/bunkazai/1449206358603.html
入善町下山芸術の森アートスペース（発電所美術館）,富山県,下新川郡入善町,登録博物館,市区町村立,美術,https://www.town.nyuzen.toyama.jp/gyosei/bijutsukan/index.html
高岡市美術館,富山県,高岡市,登録博物館,市区町村立,美術,https://www.e-tam.info/
高岡市福岡歴史民俗資料館,富山県,高岡市,登録博物館,市区町村立,歴史,https://www.city.takaoka.toyama.jp/soshiki/kyoikuiinkai_shogaigakushu_sportska/2/8/1/2276.html
高岡市万葉歴史館,富山県,高岡市,登録博物館,市区町村立,歴史,https://www.manreki.com/
高岡市立博物館,富山県,高岡市,登録博物館,市区町村立,歴史,https://www.e-tmm.info/
ミュゼふくおかカメラ館,富山県,高岡市,登録博物館,市区町村立,美術,https://www.camerakan.com/
砺波郷土資料館,富山県,砺波市,登録博物館,市区町村立,総合,https://www.city.tonami.lg.jp/section/1658p/
砺波市美術館,富山県,砺波市,登録博物館,市区町村立,美術,https://www.tonami-art-museum.jp/
公益財団法人　秋水美術館,富山県,富山市,登録博物館,公益財団法人,美術,https://www.shusui-museum.jp/
富山県交通公園交通安全博物館,富山県,富山市,登録博物館,公益財団法人,科学,http://safety-toyama.or.jp/museum/
富山県水墨美術館,富山県,富山市,登録博物館,都道府県立,美術,https://www.pref.toyama.jp/1738/miryokukankou/bunka/bunkazai/3044/index.html
◎富山県中央植物園,富山県,富山市,登録博物館,都道府県立,植物園,https://www.bgtym.org/
◎富山県美術館,富山県,富山市,登録博物館,都道府県立,美術,https://tad-toyama.jp/
富山県埋蔵文化財センター,富山県,富山市,登録博物館,都道府県立,歴史,https://www.pref.toyama.jp/3041/miryokukankou/bunka/bunkazai/maibun/index.html
富山県民会館美術館,富山県,富山市,登録博物館,公益財団法人,美術,https://www.bunka-toyama.jp/kenminkaikan/
◎富山市科学博物館,富山県,富山市,登録博物館,市区町村立,科学,https://www.tsm.toyama.toyama.jp/
富山市ガラス美術館,富山県,富山市,登録博物館,市区町村立,美術,https://toyama-glass-art-museum.jp/
富山市郷土博物館（別館）富山市佐藤記念美術館,富山県,富山市,登録博物館,市区町村立,総合,https://www.city.toyama.toyama.jp/etc/muse/
富山市民俗民芸村,富山県,富山市,登録博物館,市区町村立,歴史,https://www.city.toyama.toyama.jp/etc/minzokumingei/
◎富山県　立山カルデラ砂防博物館,富山県,中新川郡立山町,登録博物館,都道府県立,科学,https://www.tatecal.or.jp/tatecal/index.html
◎富山県［立山博物館］,富山県,中新川郡立山町,登録博物館,都道府県立,総合,https://www.pref.toyama.jp/1739/miryokukankou/bunka/bunkazai/home/index.html
滑川市立博物館,富山県,滑川市,登録博物館,市区町村立,総合,https://www.city.namerikawa.toyama.jp/museum/index.html
南砺市埋蔵文化財センター,富山県,南砺市,登録博物館,市区町村立,総合,http://museums.toyamaken.jp/museum/swhm068/
南砺市立福光美術館,富山県,南砺市,登録博物館,市区町村立,美術,https://nanto-museum.com/
◎氷見市立博物館,富山県,氷見市,登録博物館,市区町村立,歴史,https://www.city.himi.toyama.jp/section/museum/index.html
○ギャルリ・ミレー,富山県,富山市,指定施設,会社,美術,https://www.gmillet.jp/
富山県教育記念館,富山県,富山市,指定施設,公益財団法人,歴史,https://www.t-hito.or.jp/
石川県九谷焼美術館,石川県,加賀市,登録博物館,市区町村立,美術,https://www.city.kaga.ishikawa.jp/kutani-mus/index.html
加賀市中谷宇吉郎雪の科学館,石川県,加賀市,登録博物館,市区町村立,科学,https://yukinokagakukan.kagashi-ss.com/
